,,,,album_world2_subtitle1,Memories from this great game!,Memories from this great game!,Memories from this great game!,Memories from this great game!,Memories from this great game!,Memories from this great game!,Memories from this great game!,Memories from this great game!,Memories from this great game!,Memories from this great game!,Memories from this great game!,Memories from this great game!,Memories from this great game!,Memories from this great game!,,
,,,,album_ClackChen,Pirates of the Caribbean album,Pirates of the Caribbean album,Pirates of the Caribbean album,Pirates of the Caribbean album,Pirates of the Caribbean album,Pirates of the Caribbean album,Pirates of the Caribbean album,Pirates of the Caribbean album,Pirates of the Caribbean album,Pirates of the Caribbean album,Pirates of the Caribbean album,Pirates of the Caribbean album,Pirates of the Caribbean album,Pirates of the Caribbean album,,
,,,,album_ClackChen_subtitle,Soundtracks from movie,Soundtracks from movie,Soundtracks from movie,Soundtracks from movie,Soundtracks from movie,Soundtracks from movie,Soundtracks from movie,Soundtracks from movie,Soundtracks from movie,Soundtracks from movie,Soundtracks from movie,Soundtracks from movie,Soundtracks from movie,Soundtracks from movie,,
,,,,album_Chinese,Combo Tiles Album,Combo Tiles Album,Combo Tiles Album,Combo Tiles Album,Combo Tiles Album,Combo Tiles Album,Combo Tiles Album,Combo Tiles Album,Combo Tiles Album,Combo Tiles Album,Combo Tiles Album,Combo Tiles Album,Combo Tiles Album,Combo Tiles Album,,
,,,,album_Chinese_subtitle,Collection of combo tiles songs,Collection of combo tiles songs,Collection of combo tiles songs,Collection of combo tiles songs,Collection of combo tiles songs,Collection of combo tiles songs,Collection of combo tiles songs,Collection of combo tiles songs,Collection of combo tiles songs,Collection of combo tiles songs,Collection of combo tiles songs,Collection of combo tiles songs,Collection of combo tiles songs,Collection of combo tiles songs,,
,,,,album_world3,Dancing Line album,Dancing Line album,Dancing Line album,Dancing Line album,Dancing Line album,Dancing Line album,Dancing Line album,Dancing Line album,Dancing Line album,Dancing Line album,Dancing Line album,Dancing Line album,Dancing Line album,Dancing Line album,,
,,,,album_world3_subtitle1,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,Dancing Line in Piano Tiles 2!,,
,,,,album_dance2,Super Mario World album,Super Mario World album,Super Mario World album,Super Mario World album,Super Mario World album,Super Mario World album,Super Mario World album,Super Mario World album,Super Mario World album,Super Mario World album,Super Mario World album,Super Mario World album,Super Mario World album,Super Mario World album,,
,,,,album_dance2_subtitle,Music from famous game! :D,Music from famous game! :D,Music from famous game! :D,Music from famous game! :D,Music from famous game! :D,Music from famous game! :D,Music from famous game! :D,Music from famous game! :D,Music from famous game! :D,Music from famous game! :D,Music from famous game! :D,Music from famous game! :D,Music from famous game! :D,Music from famous game! :D,,
,,,,album_popmusic,Meme album,Meme album,Meme album,Meme album,Meme album,Meme album,Meme album,Meme album,Meme album,Meme album,Meme album,Meme album,Meme album,Meme album,,
,,,,album_popmusic_subtitle,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,Never gonna give you up! Keep play xD,,
,,,,album_Original,Alan Walker's album,Alan Walker's album,Alan Walker's album,Alan Walker's album,Alan Walker's album,Alan Walker's album,Alan Walker's album,Alan Walker's album,Alan Walker's album,Alan Walker's album,Alan Walker's album,Alan Walker's album,Alan Walker's album,Alan Walker's album,,
,,,,album_Original_subtitle,Songs by Alan Walker,Songs by Alan Walker,Songs by Alan Walker,Songs by Alan Walker,Songs by Alan Walker,Songs by Alan Walker,Songs by Alan Walker,Songs by Alan Walker,Songs by Alan Walker,Songs by Alan Walker,Songs by Alan Walker,Songs by Alan Walker,Songs by Alan Walker,Songs by Alan Walker,,
,,,,album_Newedition,爆裂块专辑,爆裂塊專輯,Album of Burst tiles,Álbum de teclas ráfagas,Альбом разорванной плитки,Álbum de Teclas de Explosão,Album für Burst-Tiles,폭발타일 앨범,バーストタイルアルバム,Album des tiles  d'éclats,Album di Burst tiles,ألبوم للتايلزات المتفجرة,Patlamış Tuşlar Albümü,Album Burst tiles,,
,,,,album_Newedition_subtitle,经典歌曲的全新玩法,經典歌曲的全新玩法,New gameplay of classical songs,Nuevo modo de jugar con canción clásica,Новая игра классических песен,Novo gameplay com músicas clássicas,Neue Spielweise bei klassischen Stücken,클래식 곡의 신규 플레이,人気曲の新しいゲームスタイル,Nouveau mode de jouer,Nuovo modo di gioco di canzoni classiche,طريقة لعب جديدة للأغاني الكلاسيكية,Klasik müziklerin yeni oyun tarzları,Cara main terbaru lagu klasik,,
,,,,album_Adapted,Canon album,Canon album,Canon album,Canon album,Canon album,Canon album,Canon album,Canon album,Canon album,Canon album,Canon album,Canon album,Canon album,Canon album,,
,,,,album_Adapted_subtitle,"Different versions of Pachelbel's piece","Different versions of Pachelbel's piece","Different versions of Pachelbel's piece","Different versions of Pachelbel's piece","Different versions of Pachelbel's piece","Different versions of Pachelbel's piece","Different versions of Pachelbel's piece","Different versions of Pachelbel's piece","Different versions of Pachelbel's piece","Different versions of Pachelbel's piece","Different versions of Pachelbel's piece","Different versions of Pachelbel's piece","Different versions of Pachelbel's piece","Different versions of Pachelbel's piece",,
,,,,album_beethoven2,Legendary album,Legendary album,Legendary album,Legendary album,Legendary album,Legendary album,Legendary album,Legendary album,Legendary album,Legendary album,Legendary album,Legendary album,Legendary album,Legendary album,,
,,,,album_beethoven2_subtitle,Hardest songs in UMod!,Hardest songs in UMod!,Hardest songs in UMod!,Hardest songs in UMod!,Hardest songs in UMod!,Hardest songs in UMod!,Hardest songs in UMod!,Hardest songs in UMod!,Hardest songs in UMod!,Hardest songs in UMod!,Hardest songs in UMod!,Hardest songs in UMod!,Hardest songs in UMod!,Hardest songs in UMod!,,
,,,,album_student,Liszt's album,Liszt's album,Liszt's album,Liszt's album,Liszt's album,Liszt's album,Liszt's album,Liszt's album,Liszt's album,Liszt's album,Liszt's album,Liszt's album,Liszt's album,Liszt's album,,
,,,,album_student_subtitle,Great music of hungarian virtuoso,Great music of hungarian virtuoso,Great music of hungarian virtuoso,Great music of hungarian virtuoso,Great music of hungarian virtuoso,Great music of hungarian virtuoso,Great music of hungarian virtuoso,Great music of hungarian virtuoso,Great music of hungarian virtuoso,Great music of hungarian virtuoso,Great music of hungarian virtuoso,Great music of hungarian virtuoso,Great music of hungarian virtuoso,Great music of hungarian virtuoso,,
,,,,album_Original2,Etude album,Etude album,Etude album,Etude album,Etude album,Etude album,Etude album,Etude album,Etude album,Etude album,Etude album,Etude album,Etude album,Etude album,,
,,,,album_Original_subtitle2,All etudes from UMod,All etudes from UMod,All etudes from UMod,All etudes from UMod,All etudes from UMod,All etudes from UMod,All etudes from UMod,All etudes from UMod,All etudes from UMod,All etudes from UMod,All etudes from UMod,All etudes from UMod,All etudes from UMod,All etudes from UMod,,
,,,,album_halloween2017,万圣节专辑-2017,萬聖節專輯-2017,Halloween Album in 2017,Álbum de Halloween-2017,Альбом Хэллоуина 2017,Álbum do Dia das Bruxas - 2017,Album zum Allerheiligen-2017,핼로윈 특집 - 2017,ハロウィーンアルバム２０１７,Album de la Toussaint en 2017,Album di Halloween -2017,ألبوم الهالويين - 2017,Cadılar Bayramı Albümü-2017,Album Halloween 2017,,
,,,,album_autumn,"Southey's transcriptions","Southey's transcriptions","Southey's transcriptions","Southey's transcriptions","Southey's transcriptions","Southey's transcriptions","Southey's transcriptions","Southey's transcriptions","Southey's transcriptions","Southey's transcriptions","Southey's transcriptions","Southey's transcriptions","Southey's transcriptions","Southey's transcriptions",,
,,,,album_autumn_subtitle,All custom songs transcribed by Southey,All custom songs transcribed by Southey,All custom songs transcribed by Southey,All custom songs transcribed by Southey,All custom songs transcribed by Southey,All custom songs transcribed by Southey,All custom songs transcribed by Southey,All custom songs transcribed by Southey,All custom songs transcribed by Southey,All custom songs transcribed by Southey,All custom songs transcribed by Southey,All custom songs transcribed by Southey,All custom songs transcribed by Southey,All custom songs transcribed by Southey,,
,,,,album_christmas2017,圣诞节专辑-2017,聖誕節專輯-2017,Christmas album -2017,Álbum de Navidad-2017,Рождественский альбом - 2017,Álbum de Natal-2017,Album zum Weihnachten-2017,크리스마스 앨범-2017,クリスマスアルバムー２０１７,Album de Noël de 2017,Album di Natale-2017,ألبوم عيد الميلاد- 2017,2017 Yılı Noel Albümü,Album hari Natal-2017,,
,,,,album_christmas2017_subtitle,祝你圣诞快乐！,祝你聖誕快樂！,Merry Christmas!,¡Feliz Navidad!,С Рождеством!,Desejo-lhe um feliz Natal!,Frohe Weihnachten!,메리 크리스마스!,メリークリスマス！,Joyeux Noël !,Buon Natale a te !,أتمنى لك عيد ميلاد سعيداّ,Mutlu Noeller!,Selamat hari Natal！,,
歌曲卡片-即将开始,,,,musiccard_wait,即将开始,即將開始,Start soon,Empezará pronto,Скоро! ,"Começar em breve",Komm bald,곧 시작,もうすぐ開始する,Arriver bientôt,Comincia subito,على وشك البدء,Hemen Başlıyor,Segera mulai,,
,,,,title_bir,钢琴块2二周年,鋼琴塊2二週年,2 years anniversary,El 2º Aniversario,Вторая годовщина,2º Aniversário,2-jähriges Jubiläum,2주년,二周年,2e anniversaire,2º anniversario,ذكرى سنوية ثانية,İkinci Yıldönümü,Ulang Tahun ke-2,,
等发版后我再移动上去，为多语言故，请暂时不移动,取消订阅标题,,,vip_status6_title,提示,提示,Notice,Noticia,Уведомление,Aviso,Hinweise,메시지,提示,Note,Notifica,تنبيه,Bildirim,Peringatan,,
,取消订阅文案,,,vip_status6,已成功取消VIP订阅。,已成功取消VIP訂閱。,Cancellation of VIP subscription succeeded.,Ha cancelado la suscripción VIP,Вы успешно отменили подписку.,Você conseguiu cancelar a assinatura do serviço de VIP.,Du hast VIP-Abonnierung erfolgreich beendet,VIP 구독 취소 완료되었습니다,VIP購読をフォロー解除した,Annulation d'abonnement de VIP réussie.,Ha cancellato VIP successo.,تم إلغاء اشتراك VIP بنجاح,VIP aboneliği başarıyla iptal edildi.,Langganan VIP Anda sudah expired.,,
,,,,pay_budan_title,网络状况不佳,網絡狀況不佳,Unstable network,Internet está mal,Интернет-неполадки,Conexão instável ,Schlechtes Netz,네트워크 불안정함,ネット状態が不安定,Connexion instable,Internet instabile,الانترنت ليس جيدا,Ağ bağlantısı kötü,Jaringan jelek,,
,,,,pay_budan,未能及时更新到您的VIP状态，请稍后查看。,未能及時更新到您的VIP狀態，請稍後查看。,"Unable to update your VIP status, please check later.","El estado de VIP no está actualizado, ver más tarde.","Информация о вашей VIP-подписке не получена, попробуйте позже.","Falha em atualizar seu estado de VIP, por favor verifique mais tarde.","VIP-Status kann nicht aktualisiert werden, bitte prüfst du später.",VIP 상태 갱신되지 않았습니다. 잠시 후 재확인해보세요.,VIP状態に更新できませんでした。 しばらく待ってから確認してください。,"Mise à jour de votre VIP échouée, vérifiez plus tard.",Non riesce ad aggiornare la sua situazione di VIP. Riprovi dopo.,فشل التحديث إلى وضع VIP لك، يرجى المراجعة لاحقا,"VIP durumunuz güncellenmedi, lütfen sonra tekrar kontrol edin.","Status VIP Anda belum diperbarui,silakan coba nanti.",,
,列表页提示,,,chongji_listtip,弹奏这首歌，可获得钻石糖果,彈奏這首歌，可獲得鑽石糖果,Play this song to win diamond sugar,"Tócala, y gana caramelo de diamante",Получи алмазы за эту песню,Jogue a música para doces-diamante,"Spiel es, um Diamant zu gewinnen",이 곡 연주하면 다이아캔디 획득 가능,この曲を弾けばダイヤ飴をもらえるよ,Jouer ce morceau pr bonbon-diamant,Gioca la canzone per la caramella,إلعب هذه الأغنية لكسب حلوية الألماس,Elmas tatlısı almak için şarkı oyna,"Main lagu ini,dapat permen diamond",,
,开始界面冲级提示,,,chongji_startip,1星获得钻石糖果,1星獲得鑽石糖果,1 star to get the diamond sugar,1 estrella y caramelo de diamante,Получи конфеты-алмазы за 1 звезду,1 estrela para ganhar doce-diamante,1 Stern für Diamant,1성 달성시 다이아캔디 획득 가능,1つの星でダイヤ飴をもらえる,1 étoile pour bonbon-diamant,Vinci la caramella con 1 stella,كسب حلوية الألماس بنجم واحد,Elmas için bir yıldız yalnız,1 bintang dapat permen diamond,,
,冲级弹窗,,,chongji_pop_title1,万圣节糖果,萬聖節糖果,Halloween Candy,Caramelo de Halloween,Подарки на Хеллоуин,Doces para Dia das Bruxas,Süßigkeit von Halloween,헬로윈 선물,ハロウィンキャンディ,Bonbons de Halloween,Caramelli di Halloween,حلويات الألماس في هالوين,Cadılar Bayramı Şekeri,Permen Halloween,,
,,,,chongji_pop_title2,快到歌曲列表寻找吧!,快到歌曲列表尋找吧!,Get candy in the songs,Búscalo en la canción,Получи конфеты-алмазы,Procure-as nas músicas!,Such Süßigkeit bei Lieder,연주로 다이아캔디 찾아요,曲の中で見つけよう,Cherchez dans la musique,Cercali nelle canzoni,إيجادها بلعب الأغاني,Haydi şarkı içinde arayın,Mari mencari dalam lagu,,
,,,,chongji_pop_btn,前往,前往,Go,Ir,Вперед,Ir,Frei,무료,スタート,Allez-y,Vedi,عرض,İleri,Go,,
,冲级通知栏,GP,,chongji_notification_tit1,万圣节快乐!,萬聖節快樂!,Happy Halloween!,¡Feliz Halloween!,Веселого Хеллоуина!,Feliz Dia das Bruxas!,Fröhliches Allerheiligen,즐거운 헬로윈!,ハッピーハロウィン！,Joyeux Halloween !,Felice Halloween!,هالوين سعيد,Mutlu Cadılar Bayramı!,Happy Halloween!,,
,,,,chongji_notification_tit2,快来抢糖果吧!,快來搶糖果吧!,Come and grab sweets!,¡Vamos por los caramelos!,Успей получить конфеты!,Venha pegar alguns doces!,Hol Süßigkeiten schnell,빨리 캔디를 받아요!,キャンディをゲットしよう！,Venez prendre les bonbons !,Vieni a prendere i caramelli!,تعالى إلى كسب الحلويات بسرعة,Haydi şekeri yakalayın!,Cepat merebut permen,,
,,iOS,,chongji_notification_ios,万圣节快乐! 快来抢糖果吧!,萬聖節快樂! 快來搶糖果吧!,Happy Halloween! Come and grab sweets!,¡Feliz Halloween! ¡Vamos por los caramelos!,Веселого Хеллоуина! Успей получить конфеты!,Feliz Dia das Bruxas! Venha pegar alguns doces!,Fröhliches Allerheiligen! Hol Süßigkeiten schnell,즐거운 헬로윈! 빨리 캔디를 받아요!,ハッピーハロウィン！ キャンディをゲットしよう！,Joyeux Halloween ! Venez prendre les bonbons !,Felice Halloween! Vieni a prendere i caramelli!,هالوين سعيد تعالى إلى كسب الحلويات بسرعة,Mutlu Cadılar Bayramı! Haydi şekeri yakalayın!,Happy Halloween! Cepat merebut permen,,
,捉南瓜-成功,,,normal_success,成功,成功,Success,Éxito,Готово,Sucesso,Erfolg,성공,成功,Succès,Successo,نجاح,Başarılı,Berhasil,,
,,,,normal_startip,捉住南瓜，获得奖励!,捉住南瓜，獲得獎勵!,"Catch pumpkins, win prizes!","Captura a la calabaza, gana premio","Поймай тыкву, получи подарок",Apanhe abóboras pra ganhar prémios,"Kürbis halten, Belohnungen gewinnen","호박 잡고, 보상 받기",かぼちゃを捕まえて、ギフトをゲット!,Attrapez les citrouilles pour bonus,Clicca lo zucca e vinci i tesori,القبض على اليقطين لكسب المكافأة,Balkabağı yakalayıp ödül alın,"Tangkap labu, mendapat hadiah",,
,,,,nangua_clicktip,戳！戳！戳！,戳！戳！戳！,Tap! Tap! Tap!,¡Toca! ¡Toca!,Клик! Клик!,Clique! Clique!,Klicken! Klicken!,클릭!클릭!클릭!,画面をクリック!,Tapez! Tapez!,Clicca! Clicca!,أنقر أنقر أنقر,Tıkla! Tıkla!,Klik!Klik!Klik!,,
,,,,nangua_share,万圣节捉南瓜活动：等级%1$d，成功,萬聖節找南瓜活動:等級%1$d，成功,"Catch pumpkins on Halloween:Level%1$d, Success","Coger calabazas de Halloween:Nivel%1$d, Éxito","Мероприятие Хеллоуна ""Поймай тыкву"":Уровень%1$d, Готово","Apanhe abóboras no Halloween!Nível%1$d, Sucesso","Allerheiligen-Veranstaltung:Level%1$d, Erfolg","핼로윈 호박 잡기 이벤트:단계%1$d, 성공","ハロウィンパンプキンを探そう：レベル%1$d, 成功","Attraper les citrouilles:Niveau%1$d, Succès","Afferra la zucca di Halloween:livelli%1$d, Successo","فعالية القبض على يقطين الهالوين:المستويات%1$d, نجاح","Cadılar Bayramı balkabağını yakalayın:Seviye%1$d, Başarılı","Acara tangkap labu Halloween:Level%1$d, Berhasil",,
,,,,nangua_share_fail,万圣节捉南瓜活动：等级%1$d，再接再厉,萬聖節捉南瓜活動:等級%1$d，再接再厲,"Catch pumpkins on Halloween:Level%1$d, Keep Going","Coger calabazas de Halloween:Nivel%1$d, ¡Otra vez será!","Мероприятие Хеллоуна ""Поймай тыкву"":Уровень%1$d, Не сдавайся!","Apanhe abóboras no Halloween!Nível%1$d, Tente mais uma vez.","Allerheiligen-Veranstaltung:Level%1$d, Weiter kämpfen","핼로윈 호박 잡기 이벤트:단계%1$d, 더 힘내세요","ハロウィンパンプキンを探そう：レベル%1$d, もう一回チャレンジ","Attraper les citrouilles:Niveau%1$d, Plus d'effort!","Afferra la zucca di Halloween:livelli%1$d, Peccato! Riprova!","فعالية القبض على يقطين الهالوين:المستويات%1$d, فشل","Cadılar Bayramı balkabağını yakalayın:Seviye%1$d, Lütfen devam edin.","Acara tangkap labu Halloween:Level%1$d, Terus berusaha",,
,,,,normal_allsuccess,恭喜!通关!,恭喜!通關!,Accomplished!,Yeah! Terminado!,Ура! Победа!,Parabéns! Passou tudo!,Passt!!!,만급 달성!,全レベルクリア!,Au bout !,Auguri! Avanti!,قد نجحت في جميع المستويات,Tebrikler! Hedefin tamamlandı.,Selamat tamat!,,
,,,,nangua_catchme,嘿嘿嘿！来捉我吧！,嘿嘿嘿！來捉我吧！,Come and catch me!,¡Ven a capturarme!,Скорее поймай меня!,Venha me pegar de pressa!,fass mich!!,빨리 나를 잡아봐!,早く私を捕まえて！,Venez me prendre !,Vieni ad afferrarmi!,تعالى إلى القبض علي,Haydi beni yakalayın!,Cepat tangkap saya!,,
,iOS 10点不到温馨提示,,,iostentips_tit,温馨提示,溫馨提示,Note,Consejos,Напоминание,Dica gentil,Hinweis,도움말,お知らせ,Note,Notifiche,إشارة اللعبة,Notlar,Perhatian,,
,,,,iostentips_con,亲爱的玩家：你如果在游戏中遇到点不到的情况，请尝试在手机设置页-通用-辅助功能中关闭3D Touch。,親愛的玩家：你如果在遊戲中遇到點不到的情況，請嘗試在手機設置頁-通用-輔助功能中關閉3D Touch。,"Dear players: If your taps are not registered, please try turning off 3D touch in Settings-General-Accessibility.","Estimados usuarios: si te encuentras con el problema de toque, intenta desactivar el 3D Touch en Funciones Auxiliares-Ajustes del móvil.","Уважаемые пользователи: если во время игры у вас возникают проблемы с нажатием, попробуйте в настройках телефона во вкладке ""Дополнительно"" отключить функцию 3D Touch.","Caros jogadores: Se não conseguir tocar nas teclas no jogo, pode tentar resolver isso através de desativar 3D Touch em Ajustes-Acessibilidade do seu celular.","Liebe Spieler: wenn die Tasten nicht reagieren, kannst du das 3D Touch auf der Einstellung ausschalten.","존경하는 유저님: 게임하는 도중에 터치 안되는 현상이 발생할 경우, 휴대폰 설정페이지-손쉬운 사용에서 3D Touch 기능을 끊어보세요.",ゲーム中でタップできないなどの状況に遭いましたら、設定→一般→アクセシビリティの順に3D Touch機能をオフにしてから、もう一度ログインしてください。ご迷惑おかけして、深くお詫び申し上げます。,"Cher joueur : si les touches ne sont pas prises en compte, essayez de fermer le 3D Touch dans réglages-général-accessibilité.","Caro giocatore: se non riesci a toccare i tasti, puoi provare spegnere 3D Touch in Impostazioni - Accessibilità",أيها المستخدمون الأعزاء: إذا تواجهون مشكلة النقر في لعب اللعبة، تستطيعون محاولة إغلاق 3D touch في إمكانية وصول ذوي الاحتياجات الخاصة في الإعدادات لهواتف نقالكم,"Sevgili oyuncu: eğer oyunda tıklama problem çıksa, lütfen ayarlar-erişebilirlik'ta 3D-Touch kapatın.","Pemain yang terhormat,jika terjadi gejala tidak berguna memencetnya,coba mematikan fitur 3D Touch di halaman ""Pengaturan-Aksesibilitas”.",,
,大师赛,,,master_going,进行中,進行中,Ongoing,Jugando,В процессе,Em andamento,Das Spiel läuft,진행중,開催中,En cours,In progresso,جاريا,Devam eden,Dalam proses,,
,,,,master_lastbonus,上周奖励,上週獎勵,Last week bonus,Bonus anterior,Награда недели,Bônus da semana passada,Belohnung,지난주 보상,先週のボーナス,Bonus de la semaine dernière,Regalo scorso,مكافأة للأسبوع الماضي,Son hafta ödülü,Hadiah Pekan Lalu,,
,,,,master_receive,领取奖励,領取獎勵,Receive bonus,Conseguir bonus,Получить,Receber bônus,Belohnung holen,보상 수령,ボーナスを貰う,Recevoir,Ricevi regalo,تلقي المكافأة,Ödül al,Terima hadiah,,
,,,,master_rank,排名,排名,Ranking,Ranking,Рейтинг,Ranking,Rang,랭킹,ランキング,Classement,Lista,التصنيف,Sıralama,Ranking,,
,,,,master_lastrank,上周排名,上週排名,Last week's ranking,Lista anterior,Прошлый рейтинг,Ranking da semana passada,Rang letzer Woche,지난주 랭킹,先週ランキング,Classement de la semaine dernière,Lista scorsa,تصنيف للأسبوع الماضي,Son sıralama,Ranking Pekan Lalu,,
,,说明成绩过期,,master_intro,成绩已过期，同步失败,成績已過期，同步失敗,"Score expired, sync failed.","Tu progreso ha caducado, sincronización fallida","Результат просрочен, синхронизация не удалась","Resultado inválido, falha em sincronizar os dados",Lesitung ist abgelaufen und kann synchronisiert werden,"성적 만료되고, 동기화 실패",ランキングは失効しましたため、同期できません。,"Score expiré, synchronisation échouée.",I punti sono scaduti e sincronizzato fallito.,فشل المزامنة بسبب انتهاء صلاحية النتيجة,"Eşzamanlı olamadı, puanın geçicidir.","Hasil sudah expired,gagal pembaruan",,
,,,,master_net,连接网络，参与排名,連接網絡，參與排名,Connect to the internet and get your ranking.,"Conecta a internet, entra en la lista","Подключи интернет, попади в рейтинг",Participe no ranking com rede ativado,"Internet verbinden, Rang teilnehmen",인터넷 접속하여 랭킹 참여하세요.,"インターネットに接続して,ランキングを確認",Se connecter pour le classement,Connetti con Internet e mettiti nella lista.,الاتصال بالانترنت للمشاركة في التصنيف,Lütfen internet bağlanın ve sıralara katılın,"Koneksi dengan internet,ikut serta peringkat",,
,,,,master_joinbonus,参与奖,參與獎,Participation award,Por participar,Участник,Participação,Belohnung,참여상,参加賞,Prix de consolation,Regalo,مكافأة المشاركة,Katılım Ödülü,Hadiah Ikut,,
,,,,master_bigbonus,最高奖励:,最高獎勵:,Highest reward:,El máximo bonus:,Высшая награда:,Melhores bônus:,höchste Belohnung:,최고 보상:,最高ボーナス:,Meilleur prix:,Top regalo:,أعلى مكافأة:,En yüksek ödül:,Hadiah Teratas:,,
,,,,master_week,/周,/週,/week,/7días,/нед.,/semana,/Woche,/주,/週,/semaine,/settimana,أسبوع/,/Hafta,/pekan,,
,,,,master_aim1,离排名奖励还差,離排名獎勵還差,,Para el bonus faltan,До награды еще,Mais,Noch,랭킹보상 속도 부족,ランクインまであと,Besoin de,Per il regalo manca,تايلز/ث لمكافأة التصنيف,Sıralama ödüle kalan,Butuh,,
,,,,master_aim2,块/秒,塊/秒,tiles/s to get ranking prize,teclas/s,клв/с,teclas/s para receber bônus,Tasten/s für Belohnung,타일/초,タイル/秒,tuile/s pour prix,piastrelle/s,إضافة,tuş/s,tuts/detik lagi dapat hadiah,,
,,,,master_invite,UChallenge 3 unlocked,UChallenge 3 unlocked,UChallenge 3 unlocked,UChallenge 3 unlocked,UChallenge 3 unlocked,UChallenge 3 unlocked,UChallenge 3 unlocked,UChallenge 3 unlocked,UChallenge 3 unlocked,UChallenge 3 unlocked,UChallenge 3 unlocked,UChallenge 3 unlocked,UChallenge 3 unlocked,UChallenge 3 unlocked,,
,,,,master_racegoing,比赛进行中,比賽進行中,Competition ongoing,competición disputando,Конкурс идёт,Competição em curso,Das Spiel läuft,시합중,試合中,Compétition en cours,Partita in progresso,جاري المباريات,Maç devam ediyor,Sedang berduel,,
,,,,master_reward,比赛结束，将发放奖励,比賽結束，將發放獎勵,Prizegiving: after competition ends,"Acaba la competición, llega bonus","Конкурс закончен, ждите призы",Receberá bônus após competição,"Spiel endet, Belohungen vergeben","시합 종료, 보상 발급하겠습니다",試合終了、ボーナスをもらう,"Compétition finie, distribuer prix",Partita finita. Si darà il compenso,سيتم توزيع المكافأة بعد المباريات,"Sezon maçı bitti, ödülün verilecek.",Selesai duel bonus akan disediakan,,
,,,toast,master_receive_nonet,领取失败，请连接网络,領取失敗，請連接網絡,"Failure, please connect to network","No la consigues, conecta a internet","Ошибка, подключите интернет","Não recebeu, favor verificar a rede","Gescheitert,bitte vinbinde mit WLAN",네트워크 접속하여 수령하세요,インターネットに接続してください,"Échec, connectez-vous!",Preso fallito. Connetti co'lnternet,فاشل التلقي، يرجى الاتصال بالانترنت,"Ağ kullanılamaz,lütfen kontrol edin","Gagal diterima,coba koneksi dengan internet.",,
,,,,master_newbest,新高,新高,New Best,Nuevo Record,Новое избранное,Novo Melhor,Neue Rekord,신기록,新記録,Nouveau top,Nuovo record,أفضل نتيجة جديدة,Yeni kayıt,baru dan terbaik,,
,,领取奖励通知栏,,master_rewardnotice_gptit,你的大师赛奖励已发放,你的大師賽獎勵已發放,Get your Master reward!,Bonus del Desafío-Experto,Получи награду виртуоза,Não perca bônus do Mestre,Belohnung schon vergeben,마스터 보상 발급!,ボーナスがもらえるよ！,Prix du Maître distribué!,La ricompensa di Oro.,تم توزيع مكافأة المباريات,Usta ödülün verilmişti.,Bonus master sudah sedia,,
,,,,master_rewardnotice_gpsub,点击领取>>,點擊領取>>,Click to receive,Toca para conseguirlo>>,"Нажми, чтобы получить>>",Clique para receber,"Klick, um es zu holen",수령하기>>,クリックするだけでゲット>>,Cliquer,Clicca a prenderla>>,أنقر لتلقيها,Lütfen buraya tıkla ve alın>>,Klik menerima>>,,
,,,,master_rewardnotice_ios,你的大师赛奖励已发放！点击领取>>,你的大師賽獎勵已發放！點擊領取>>,Get your Master reward! Click to receive,Bonus del Desafío-Experto.Toca para conseguirlo>>,"Получи награду виртуоза. Нажми, чтобы получить>>",Não perca bônus do Mestre. Clique para receber,"Belohnung schon vergeben. Klick, um es zu holen",마스터 보상 발급! 수령하기>>,ボーナスがもらえるよ！クリックするだけでゲット>>,Prix du Maître distribué! Cliquer,La ricompensa di Oro. Clicca a prenderla>>,تم توزيع مكافأة المباريات. أنقر لتلقيها,Usta ödülün verilmişti. Lütfen buraya tıkla ve alın>>,Bonus master sudah sedia. Klik menerima>>,,
