,TID,CN,TW,EN,ES,RU,PO,DE,KR,JP,FR,IT,AR,TR,IN,
,Scarlatti,Scarlatti,Scarlatti,Scarlatti,Scarlatti,Scarlatti,Scarlatti,Scarlatti,Scarlatti,Scarlatti,Scarlatti,Scarlatti,Scarlatti,Scarlatti,Scarlatti,
,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,Jean-Philippe Rameau,
,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,
,Gsarci,Gsarci,Gsarci,Gsarci,Gsarci,Gsarci,Gsarci,Gsarci,Gsarci,Gsarci,Gsarci,Gsarci,Gsarci,Gsarci,Gsarci,
,Eric Thiman,Eric Thiman,Eric Thiman,Eric Thiman,Eric Thiman,Eric Thiman,Eric Thiman,Eric Thiman,Eric Thiman,Eric Thiman,Eric Thiman,Eric Thiman,Eric Thiman,Eric Thiman,Eric Thiman,
,Chopin,Chopin,Chopin,Chopin,Chopin,Chopin,Chopin,Chopin,Chopin,Chopin,Chopin,Chopin,Chopin,Chopin,Chopin,
,Johann Strauss,Johann Strauss,Johann Strauss,Johann Strauss,Johann Strauss,Johann Strauss,Johann Strauss,Johann Strauss,Johann Strauss,Johann Strauss,Johann Strauss,Johann Strauss,Johann Strauss,Johann Strauss,Johann Strauss,
,Polish Folk Music,Polish Folk Music,Polish Folk Music,Polish Folk Music,Polish Folk Music,Polish Folk Music,Polish Folk Music,Polish Folk Music,Polish Folk Music,Polish Folk Music,Polish Folk Music,Polish Folk Music,Polish Folk Music,Polish Folk Music,Polish Folk Music,
,Edvard Grieg,Edvard Grieg,Edvard Grieg,Edvard Grieg,Edvard Grieg,Edvard Grieg,Edvard Grieg,Edvard Grieg,Edvard Grieg,Edvard Grieg,Edvard Grieg,Edvard Grieg,Edvard Grieg,Edvard Grieg,Edvard Grieg,
,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,Nicholas Steinbach,
,Bizet,Bizet,Bizet,Bizet,Bizet,Bizet,Bizet,Bizet,Bizet,Bizet,Bizet,Bizet,Bizet,Bizet,Bizet,
,TheFatRat,TheFatRat,TheFatRat,TheFatRat,TheFatRat,TheFatRat,TheFatRat,TheFatRat,TheFatRat,TheFatRat,TheFatRat,TheFatRat,TheFatRat,TheFatRat,TheFatRat,
,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,Wiz Khalifa and Charlie Puth,
,Ed Sheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,Ed Sheeran,
,Alan Walker,Alan Walker,Alan Walker,Alan Walker,Alan Walker,Alan Walker,Alan Walker,Alan Walker,Alan Walker,Alan Walker,Alan Walker,Alan Walker,Alan Walker,Alan Walker,Alan Walker,
,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,Luis Fonsi & Demi Lovato,
,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,Luis Fonsi & Daddy Yankee ft. Justin Bieber,
,TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),TheFatRat (Adapted by K.H.Hoàng),
,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,Clean Bandit ft. Sean Paul & Anne-Marie,
,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,Charlie Puth ft. Selena Gomez,
,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,U.N. Owen Was Her,
,Xi,Xi,Xi,Xi,Xi,Xi,Xi,Xi,Xi,Xi,Xi,Xi,Xi,Xi,Xi,
,Koji Kondo,Koji Kondo,Koji Kondo,Koji Kondo,Koji Kondo,Koji Kondo,Koji Kondo,Koji Kondo,Koji Kondo,Koji Kondo,Koji Kondo,Koji Kondo,Koji Kondo,Koji Kondo,Koji Kondo,
,Mario and Luigi Bowser's Inside Story,Mario and Luigi Bowser's Inside Story,Mario and Luigi Bowser’s Inside Story,Mario and Luigi Bowser's Inside Story,Mario and Luigi Bowser's Inside Story,Mario and Luigi Bowser’s Inside Story,Mario and Luigi Bowser's Inside Story,Mario and Luigi Bowser's Inside Story,Mario and Luigi Bowser’s Inside Story,Mario and Luigi Bowser's Inside Story,Mario and Luigi Bowser's Inside Story,Mario and Luigi Bowser’s Inside Story,Mario and Luigi Bowser's Inside Story,Mario and Luigi Bowser's Inside Story,Mario and Luigi Bowser’s Inside Story,
,Lukas Graham,Lukas Graham,Lukas Graham,Lukas Graham,Lukas Graham,Lukas Graham,Lukas Graham,Lukas Graham,Lukas Graham,Lukas Graham,Lukas Graham,Lukas Graham,Lukas Graham,Lukas Graham,Lukas Graham,
,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,Arranged by Jonny May,
,LazyTown,LazyTown,LazyTown,LazyTown,LazyTown,LazyTown,LazyTown,LazyTown,LazyTown,LazyTown,LazyTown,LazyTown,LazyTown,LazyTown,LazyTown,
,Smash Mouth,Smash Mouth,Smash Mouth,Smash Mouth,Smash Mouth,Smash Mouth,Smash Mouth,Smash Mouth,Smash Mouth,Smash Mouth,Smash Mouth,Smash Mouth,Smash Mouth,Smash Mouth,Smash Mouth,
,Rick Astley,Rick Astley,Rick Astley,Rick Astley,Rick Astley,Rick Astley,Rick Astley,Rick Astley,Rick Astley,Rick Astley,Rick Astley,Rick Astley,Rick Astley,Rick Astley,Rick Astley,
,Star Wars,Star Wars,Star Wars,Star Wars,Star Wars,Star Wars,Star Wars,Star Wars,Star Wars,Star Wars,Star Wars,Star Wars,Star Wars,Star Wars,Star Wars,
,Dancing Line,Dancing Line,Dancing Line,Dancing Line,Dancing Line,Dancing Line,Dancing Line,Dancing Line,Dancing Line,Dancing Line,Dancing Line,Dancing Line,Dancing Line,Dancing Line,Dancing Line,
,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,
,James Horner,James Horner,James Horner,James Horner,James Horner,James Horner,James Horner,James Horner,James Horner,James Horner,James Horner,James Horner,James Horner,James Horner,James Horner,
,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,Arranged by Rafik el Jar,
,Kyle Landry,Kyle Landry,Kyle Landry,Kyle Landry,Kyle Landry,Kyle Landry,Kyle Landry,Kyle Landry,Kyle Landry,Kyle Landry,Kyle Landry,Kyle Landry,Kyle Landry,Kyle Landry,Kyle Landry,
,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,Geoff Zanelli,
,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,Hans Zimmer,
,Castlevania,Castlevania,Castlevania,Castlevania,Castlevania,Castlevania,Castlevania,Castlevania,Castlevania,Castlevania,Castlevania,Castlevania,Castlevania,Castlevania,Castlevania,
,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,Jeff The Killer - Theme,
,Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,Danny Elfman,
,Michael Myers,Michael Myers,Michael Myers,Michael Myers,Michael Myers,Michael Myers,Michael Myers,Michael Myers,Michael Myers,Michael Myers,Michael Myers,Michael Myers,Michael Myers,Michael Myers,Michael Myers,
,Andrew Gold,Andrew Gold,Andrew Gold,Andrew Gold,Andrew Gold,Andrew Gold,Andrew Gold,Andrew Gold,Andrew Gold,Andrew Gold,Andrew Gold,Andrew Gold,Andrew Gold,Andrew Gold,Andrew Gold,
,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,Sonic The Hedgehog,
,Bleach,Bleach,Bleach,Bleach,Bleach,Bleach,Bleach,Bleach,Bleach,Bleach,Bleach,Bleach,Bleach,Bleach,Bleach,
,Akcent,Akcent,Akcent,Akcent,Akcent,Akcent,Akcent,Akcent,Akcent,Akcent,Akcent,Akcent,Akcent,Akcent,Akcent,
,Takushi Koyama,Takushi Koyama,Takushi Koyama,Takushi Koyama,Takushi Koyama,Takushi Koyama,Takushi Koyama,Takushi Koyama,Takushi Koyama,Takushi Koyama,Takushi Koyama,Takushi Koyama,Takushi Koyama,Takushi Koyama,Takushi Koyama,
,Lucas Brodan,Lucas Brodan,Lucas Brodan,Lucas Brodan,Lucas Brodan,Lucas Brodan,Lucas Brodan,Lucas Brodan,Lucas Brodan,Lucas Brodan,Lucas Brodan,Lucas Brodan,Lucas Brodan,Lucas Brodan,Lucas Brodan,
,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,
,BTS,BTS,BTS,BTS,BTS,BTS,BTS,BTS,BTS,BTS,BTS,BTS,BTS,BTS,BTS,
,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,Ramin Djawadi,
,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,
,V.K.,V.K.,V.K.,V.K.,V.K.,V.K.,V.K.,V.K.,V.K.,V.K.,V.K.,V.K.,V.K.,V.K.,V.K.,
,Boney M.,Boney M.,Boney M.,Boney M.,Boney M.,Boney M.,Boney M.,Boney M.,Boney M.,Boney M.,Boney M.,Boney M.,Boney M.,Boney M.,Boney M.,
,James Hannigan,James Hannigan,James Hannigan,James Hannigan,James Hannigan,James Hannigan,James Hannigan,James Hannigan,James Hannigan,James Hannigan,James Hannigan,James Hannigan,James Hannigan,James Hannigan,James Hannigan,
,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,Shakin' Stevens,
,Wham!,Wham!,Wham!,Wham!,Wham!,Wham!,Wham!,Wham!,Wham!,Wham!,Wham!,Wham!,Wham!,Wham!,Wham!,
,Jose Feliciano,Jose Feliciano,Jose Feliciano,Jose Feliciano,Jose Feliciano,Jose Feliciano,Jose Feliciano,Jose Feliciano,Jose Feliciano,Jose Feliciano,Jose Feliciano,Jose Feliciano,Jose Feliciano,Jose Feliciano,Jose Feliciano,
,Brenda Lee,Brenda Lee,Brenda Lee,Brenda Lee,Brenda Lee,Brenda Lee,Brenda Lee,Brenda Lee,Brenda Lee,Brenda Lee,Brenda Lee,Brenda Lee,Brenda Lee,Brenda Lee,Brenda Lee,
,Idina Menzel,Idina Menzel,Idina Menzel,Idina Menzel,Idina Menzel,Idina Menzel,Idina Menzel,Idina Menzel,Idina Menzel,Idina Menzel,Idina Menzel,Idina Menzel,Idina Menzel,Idina Menzel,Idina Menzel,
,Bobby Helms,Bobby Helms,Bobby Helms,Bobby Helms,Bobby Helms,Bobby Helms,Bobby Helms,Bobby Helms,Bobby Helms,Bobby Helms,Bobby Helms,Bobby Helms,Bobby Helms,Bobby Helms,Bobby Helms,
,Dean Martin,Dean Martin,Dean Martin,Dean Martin,Dean Martin,Dean Martin,Dean Martin,Dean Martin,Dean Martin,Dean Martin,Dean Martin,Dean Martin,Dean Martin,Dean Martin,Dean Martin,
,John Lennon,John Lennon,John Lennon,John Lennon,John Lennon,John Lennon,John Lennon,John Lennon,John Lennon,John Lennon,John Lennon,John Lennon,John Lennon,John Lennon,John Lennon,
,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,Katherine K. Davis,
,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,
,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,Mike O'Donnell,
,Touhou,Touhou,Touhou,Touhou,Touhou,Touhou,Touhou,Touhou,Touhou,Touhou,Touhou,Touhou,Touhou,Touhou,Touhou,
,Sans9985,Sans9985,Sans9985,Sans9985,Sans9985,Sans9985,Sans9985,Sans9985,Sans9985,Sans9985,Sans9985,Sans9985,Sans9985,Sans9985,Sans9985,
,Red Velvet,Red Velvet,Red Velvet,Red Velvet,Red Velvet,Red Velvet,Red Velvet,Red Velvet,Red Velvet,Red Velvet,Red Velvet,Red Velvet,Red Velvet,Red Velvet,Red Velvet,
,Ligeti György,Ligeti György,Ligeti György,Ligeti György,Ligeti György,Ligeti György,Ligeti György,Ligeti György,Ligeti György,Ligeti György,Ligeti György,Ligeti György,Ligeti György,Ligeti György,Ligeti György,
,Sebero,Sebero,Sebero,Sebero,Sebero,Sebero,Sebero,Sebero,Sebero,Sebero,Sebero,Sebero,Sebero,Sebero,Sebero,
,Albert Lavignac,Albert Lavignac,Albert Lavignac,Albert Lavignac,Albert Lavignac,Albert Lavignac,Albert Lavignac,Albert Lavignac,Albert Lavignac,Albert Lavignac,Albert Lavignac,Albert Lavignac,Albert Lavignac,Albert Lavignac,Albert Lavignac,
,Maurice Ravel,Maurice Ravel,Maurice Ravel,Maurice Ravel,Maurice Ravel,Maurice Ravel,Maurice Ravel,Maurice Ravel,Maurice Ravel,Maurice Ravel,Maurice Ravel,Maurice Ravel,Maurice Ravel,Maurice Ravel,Maurice Ravel,
,Kurokotei,Kurokotei,Kurokotei,Kurokotei,Kurokotei,
,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod,Kevin MacLeod
,John Williams,John Williams,John Williams,John Williams,John Williams,John Williams,John Williams,John Williams,John Williams,John Williams,John Williams,John Williams,John Williams,John Williams,John Williams,
,Initial D,Initial D,Initial D,Initial D,Initial D,Initial D,Initial D,Initial D,Initial D,Initial D,Initial D,Initial D,Initial D,Initial D,Initial D
,The Living Tombstone,The Living Tombstone,The Living Tombstone,The Living Tombstone,The Living Tombstone,The Living Tombstone,The Living Tombstone,The Living Tombstone,The Living Tombstone,The Living Tombstone,The Living Tombstone,The Living Tombstone,The Living Tombstone,The Living Tombstone,The Living Tombstone,
,Darude,Darude,Darude,Darude,Darude,Darude,Darude,Darude,Darude,Darude,Darude,Darude,Darude,
,ExileLord,ExileLord,ExileLord,ExileLord,ExileLord,ExileLord,ExileLord,ExileLord,ExileLord,ExileLord,ExileLord,ExileLord,ExileLord,ExileLord,ExileLord,
,UChallenge 1,UChallenge 1,UChallenge 1,UChallenge 1,UChallenge 1,UChallenge 1,UChallenge 1,UChallenge 1,UChallenge 1,UChallenge 1,UChallenge 1,UChallenge 1,UChallenge 1,UChallenge 1,UChallenge 1,
,UChallenge 2,UChallenge 2,UChallenge 2,UChallenge 2,UChallenge 2,UChallenge 2,UChallenge 2,UChallenge 2,UChallenge 2,UChallenge 2,UChallenge 2,UChallenge 2,UChallenge 2,UChallenge 2,UChallenge 2,
,UChallenge 3,UChallenge 3,UChallenge 3,UChallenge 3,UChallenge 3,UChallenge 3,UChallenge 3,UChallenge 3,UChallenge 3,UChallenge 3,UChallenge 3,UChallenge 3,UChallenge 3,UChallenge 3,UChallenge 3,
,UChallenge 4,UChallenge 4,UChallenge 4,UChallenge 4,UChallenge 4,UChallenge 4,UChallenge 4,UChallenge 4,UChallenge 4,UChallenge 4,UChallenge 4,UChallenge 4,UChallenge 4,UChallenge 4,UChallenge 4,
